episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-47.24444444444445,142.571,721.0,1.0
2,-49.62777777777778,159.77,932.0,0.99
3,-50.53333333333333,167.803,1028.0,0.98
4,-50.01111111111111,165.041,1102.0,0.97
5,-47.06111111111111,158.972,799.0,0.96
6,-48.34444444444444,160.818,805.0,0.95
7,-40.47222222222222,114.612,779.0,0.94
8,-45.73888888888889,142.65,730.0,0.9299999999999999
9,-42.32222222222222,126.68,797.0,0.9199999999999999
10,-44.9,135.721,754.0,0.9099999999999999
11,-41.56111111111111,129.421,781.0,0.8999999999999999
12,-42.93370165745856,126.089,683.0,0.8899999999999999
13,-37.61666666666667,104.891,716.0,0.8799999999999999
14,-37.84444444444444,102.717,638.0,0.8699999999999999
15,-37.65555555555556,103.533,516.0,0.8599999999999999
16,-39.28333333333333,110.434,1009.0,0.8499999999999999
17,-42.138888888888886,131.614,723.0,0.8399999999999999
18,-37.977777777777774,106.558,919.0,0.8299999999999998
19,-38.166666666666664,104.886,509.0,0.8199999999999998
20,-34.96111111111111,90.967,479.0,0.8099999999999998
21,-38.25555555555555,114.28,563.0,0.7999999999999998
