episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-54.45,187.331,1045.0,1.0
2,-50.35,168.698,1005.0,0.99
3,-46.91111111111111,146.786,735.0,0.98
4,-46.37777777777778,151.436,926.0,0.97
5,-43.855555555555554,137.999,650.0,0.96
6,-41.25555555555555,120.686,688.0,0.95
7,-42.922222222222224,126.406,748.0,0.94
8,-38.06666666666667,104.774,559.0,0.9299999999999999
9,-48.544444444444444,156.984,1090.0,0.9199999999999999
10,-43.05,128.259,643.0,0.9099999999999999
11,-45.43888888888889,142.658,954.0,0.8999999999999999
12,-43.7,131.594,787.0,0.8899999999999999
13,-39.25555555555555,108.996,662.0,0.8799999999999999
14,-40.90555555555556,119.814,910.0,0.8699999999999999
15,-36.73888888888889,99.251,587.0,0.8599999999999999
16,-36.93888888888889,97.364,580.0,0.8499999999999999
17,-37.45,102.046,627.0,0.8399999999999999
18,-38.90555555555556,108.622,616.0,0.8299999999999998
19,-35.21111111111111,90.488,501.0,0.8199999999999998
20,-36.07103825136612,98.285,552.0,0.8099999999999998
21,-38.227777777777774,106.156,801.0,0.7999999999999998
22,-38.80555555555556,110.095,552.0,0.7899999999999998
23,-34.03888888888889,88.226,584.0,0.7799999999999998
24,-36.24590163934426,101.483,573.0,0.7699999999999998
25,-33.92777777777778,88.111,600.0,0.7599999999999998
26,-36.888888888888886,100.932,1038.0,0.7499999999999998
27,-32.55555555555556,79.519,587.0,0.7399999999999998
28,-34.044444444444444,86.101,524.0,0.7299999999999998
29,-32.86666666666667,81.485,701.0,0.7199999999999998
30,-34.73888888888889,93.367,681.0,0.7099999999999997
31,-30.605555555555554,73.311,564.0,0.6999999999999997
32,-33.672222222222224,86.3,537.0,0.6899999999999997
33,-31.322222222222223,76.665,500.0,0.6799999999999997
34,-31.377777777777776,75.849,499.0,0.6699999999999997
35,-34.24444444444445,93.235,830.0,0.6599999999999997
36,-28.866666666666667,67.127,505.0,0.6499999999999997
37,-30.894444444444446,74.554,514.0,0.6399999999999997
38,-31.038888888888888,74.549,444.0,0.6299999999999997
39,-32.7,82.209,475.0,0.6199999999999997
40,-29.72222222222222,69.33,551.0,0.6099999999999997
41,-29.983333333333334,69.513,550.0,0.5999999999999996
42,-28.82777777777778,65.429,550.0,0.5899999999999996
43,-30.05,72.353,623.0,0.5799999999999996
44,-29.68888888888889,68.703,567.0,0.5699999999999996
45,-26.6,56.78,544.0,0.5599999999999996
46,-28.405555555555555,63.269,440.0,0.5499999999999996
47,-28.494444444444444,63.674,591.0,0.5399999999999996
48,-26.555555555555557,56.637,501.0,0.5299999999999996
49,-26.866666666666667,56.889,529.0,0.5199999999999996
50,-27.183333333333334,59.159,481.0,0.5099999999999996
51,-27.038888888888888,59.416,470.0,0.49999999999999956
52,-25.233333333333334,49.949,418.0,0.48999999999999955
53,-27.18888888888889,58.18,435.0,0.47999999999999954
54,-27.52777777777778,63.482,602.0,0.46999999999999953
